age, education-num, marital-status, relationship, race, hours-per-week, sex
46,9, Married-civ-spouse, Wife, White,40, Female
59,9, Married-civ-spouse, Husband, White,48, Male
44,9, Divorced, Not-in-family, White,40, Female
53,9, Divorced, Own-child, White,35, Female
49,9, Married-civ-spouse, Husband, White,40, Male
33,14, Married-civ-spouse, Husband, White,50, Male
30,5, Never-married, Not-in-family, White,40, Male
43,16, Never-married, Not-in-family, White,50, Female
57,11, Married-civ-spouse, Husband, White,40, Male
37,10, Divorced, Unmarried, White,40, Female
28,10, Divorced, Unmarried, Black,25, Female
30,9, Married-civ-spouse, Wife, Asian-Pac-Islander,35, Female
34,13, Married-civ-spouse, Husband, White,40, Male
29,10, Never-married, Not-in-family, White,50, Male
48,16, Married-civ-spouse, Husband, White,60, Male
37,10, Married-civ-spouse, Husband, White,48, Male
48,12, Divorced, Unmarried, White,40, Female
32,9, Never-married, Own-child, Black,40, Male
76,14, Married-civ-spouse, Husband, White,40, Male
44,13, Married-civ-spouse, Husband, White,60, Male
47,14, Never-married, Not-in-family, White,50, Female
20,10, Never-married, Own-child, White,40, Female
29,9, Never-married, Not-in-family, White,40, Male
32,9, Married-civ-spouse, Husband, White,40, Male
17,6, Never-married, Own-child, White,32, Female
30,7, Never-married, Own-child, White,40, Male
31,9, Never-married, Not-in-family, White,40, Female
42,9, Married-civ-spouse, Husband, White,40, Male
24,13, Never-married, Other-relative, White,40, Male
38,15, Married-civ-spouse, Husband, White,40, Male
56,9, Married-civ-spouse, Husband, White,50, Male
28,10, Married-civ-spouse, Wife, White,25, Female
36,9, Never-married, Own-child, White,40, Female
53,5, Married-civ-spouse, Husband, White,50, Male
56,10, Married-civ-spouse, Husband, White,50, Male
49,11, Married-civ-spouse, Husband, Black,40, Male
55,10, Married-civ-spouse, Husband, White,56, Male
22,9, Never-married, Not-in-family, White,41, Male
21,10, Never-married, Own-child, White,40, Female
40,13, Married-civ-spouse, Husband, White,60, Male
30,13, Never-married, Own-child, Black,40, Male
29,13, Married-civ-spouse, Husband, White,50, Male
19,10, Never-married, Own-child, Black,35, Male
47,13, Married-civ-spouse, Wife, White,40, Female
20,10, Never-married, Own-child, White,28, Female
31,12, Married-civ-spouse, Husband, White,40, Male
35,9, Married-civ-spouse, Husband, White,40, Male
39,10, Divorced, Not-in-family, White,40, Male
28,12, Never-married, Not-in-family, White,60, Female
24,9, Never-married, Not-in-family, White,40, Female
38,9, Married-civ-spouse, Husband, White,35, Male
37,13, Married-civ-spouse, Husband, White,50, Male
46,12, Divorced, Not-in-family, Black,36, Female
38,14, Married-civ-spouse, Husband, White,40, Male
43,9, Married-civ-spouse, Husband, White,60, Male
27,11, Married-civ-spouse, Wife, White,35, Female
20,10, Never-married, Own-child, White,20, Male
49,10, Married-civ-spouse, Husband, Asian-Pac-Islander,40, Male
61,9, Married-civ-spouse, Husband, White,40, Male
27,10, Never-married, Own-child, White,40, Female
19,10, Never-married, Own-child, White,30, Male
45,11, Never-married, Not-in-family, White,40, Female
70,10, Never-married, Other-relative, White,40, Male
31,9, Never-married, Unmarried, Black,30, Female
22,10, Married-civ-spouse, Husband, White,24, Male
36,9, Widowed, Unmarried, White,24, Female
64,7, Married-civ-spouse, Husband, White,40, Male
43,10, Divorced, Not-in-family, White,40, Female
47,10, Divorced, Unmarried, White,38, Female
34,9, Never-married, Not-in-family, White,40, Female
33,13, Never-married, Other-relative, Asian-Pac-Islander,40, Female
21,9, Never-married, Own-child, White,35, Male
52,9, Divorced, Not-in-family, White,45, Male
48,9, Married-civ-spouse, Husband, White,46, Male
23,13, Never-married, Not-in-family, White,40, Male
71,10, Separated, Unmarried, Black,2, Male
29,9, Divorced, Not-in-family, White,60, Male
42,13, Separated, Other-relative, Black,50, Male
68,2, Divorced, Not-in-family, White,20, Female
25,9, Never-married, Unmarried, White,40, Female
44,14, Divorced, Unmarried, Asian-Pac-Islander,40, Female
28,9, Never-married, Not-in-family, Asian-Pac-Islander,40, Female
45,14, Married-civ-spouse, Husband, White,40, Male
36,10, Divorced, Unmarried, White,40, Female
39,12, Never-married, Not-in-family, White,42, Male
46,14, Widowed, Unmarried, White,40, Male
18,7, Never-married, Own-child, White,16, Male
66,11, Widowed, Not-in-family, White,20, Female
27,9, Never-married, Not-in-family, White,40, Male
28,9, Married-civ-spouse, Husband, White,40, Male
51,10, Married-civ-spouse, Husband, White,40, Male
27,13, Never-married, Not-in-family, White,50, Male
28,13, Married-civ-spouse, Husband, White,40, Male
27,9, Married-spouse-absent, Unmarried, White,25, Female
21,9, Never-married, Own-child, Black,40, Male
34,9, Never-married, Not-in-family, Black,40, Male
18,9, Never-married, Own-child, White,12, Male
33,13, Married-civ-spouse, Husband, White,65, Male
44,10, Married-civ-spouse, Husband, Black,38, Male
43,10, Divorced, Not-in-family, White,40, Female
30,10, Never-married, Not-in-family, Black,45, Male
40,4, Married-civ-spouse, Husband, White,40, Male
37,10, Married-civ-spouse, Husband, White,42, Male
34,9, Married-civ-spouse, Husband, Black,40, Male
41,13, Divorced, Not-in-family, White,40, Female
53,13, Divorced, Not-in-family, White,50, Female
31,14, Married-civ-spouse, Wife, White,50, Female
58,16, Married-civ-spouse, Husband, White,1, Male
38,10, Divorced, Not-in-family, Black,28, Female
24,10, Married-civ-spouse, Husband, White,40, Male
41,13, Married-civ-spouse, Husband, Black,40, Male
47,10, Married-civ-spouse, Husband, White,45, Male
41,13, Married-civ-spouse, Husband, White,24, Male
23,3, Married-civ-spouse, Other-relative, White,40, Male
36,10, Divorced, Not-in-family, White,40, Male
40,14, Never-married, Not-in-family, White,55, Female
35,14, Married-civ-spouse, Other-relative, White,40, Male
24,9, Never-married, Not-in-family, White,40, Male
26,14, Never-married, Not-in-family, White,40, Female
19,9, Never-married, Own-child, White,40, Male
51,13, Married-civ-spouse, Husband, White,50, Male
42,10, Never-married, Not-in-family, White,40, Female
37,9, Divorced, Unmarried, White,35, Female
18,7, Never-married, Own-child, White,40, Female
36,13, Married-civ-spouse, Husband, Black,36, Male
35,9, Divorced, Not-in-family, White,60, Male
58,9, Married-civ-spouse, Wife, White,35, Female
17,7, Never-married, Own-child, White,12, Female
44,9, Married-civ-spouse, Husband, Black,40, Male
37,9, Married-civ-spouse, Husband, White,40, Male
35,10, Never-married, Not-in-family, Amer-Indian-Eskimo,40, Female
60,9, Married-civ-spouse, Husband, Asian-Pac-Islander,40, Male
54,4, Married-civ-spouse, Husband, White,40, Male
37,13, Never-married, Not-in-family, Black,60, Male
50,12, Divorced, Not-in-family, White,40, Female
38,13, Married-civ-spouse, Husband, White,50, Male
45,13, Married-civ-spouse, Husband, White,55, Male
25,6, Never-married, Not-in-family, White,40, Male
31,10, Married-civ-spouse, Husband, White,40, Male
64,2, Divorced, Not-in-family, White,40, Male
90,9, Never-married, Not-in-family, Black,40, Male
54,9, Married-civ-spouse, Husband, Black,20, Male
53,1, Never-married, Not-in-family, White,35, Female
18,9, Never-married, Own-child, White,40, Female
60,6, Divorced, Not-in-family, Amer-Indian-Eskimo,10, Female
66,9, Married-civ-spouse, Husband, White,50, Male
75,11, Widowed, Not-in-family, White,20, Female
65,9, Divorced, Not-in-family, White,40, Female
35,7, Separated, Not-in-family, Black,40, Male
41,9, Divorced, Unmarried, Black,38, Female
25,10, Never-married, Not-in-family, White,42, Male
33,10, Divorced, Other-relative, Other,40, Female
28,15, Never-married, Not-in-family, White,55, Male
59,9, Married-civ-spouse, Husband, White,40, Male
40,10, Never-married, Not-in-family, White,38, Female
41,13, Married-civ-spouse, Husband, White,50, Male
38,14, Married-civ-spouse, Husband, White,70, Male
23,9, Never-married, Own-child, White,40, Male
40,13, Married-civ-spouse, Husband, White,40, Male
41,9, Married-civ-spouse, Wife, White,20, Female
24,12, Married-civ-spouse, Husband, White,50, Male
20,10, Never-married, Own-child, White,20, Male
38,10, Divorced, Not-in-family, White,40, Male
56,9, Married-civ-spouse, Husband, White,35, Male
58,9, Married-civ-spouse, Husband, White,45, Male
32,9, Never-married, Not-in-family, White,34, Female
40,12, Married-civ-spouse, Husband, White,60, Male
45,9, Married-civ-spouse, Husband, White,40, Male
41,15, Married-civ-spouse, Wife, White,40, Female
42,13, Married-civ-spouse, Wife, Black,40, Female
59,6, Widowed, Unmarried, Black,30, Female
19,10, Never-married, Own-child, White,40, Male
58,10, Never-married, Not-in-family, White,20, Male
42,9, Married-civ-spouse, Husband, Asian-Pac-Islander,40, Male
20,9, Never-married, Own-child, White,40, Female
32,9, Separated, Not-in-family, White,30, Female
45,11, Widowed, Not-in-family, White,45, Female
50,4, Divorced, Not-in-family, White,40, Male
36,13, Divorced, Own-child, White,40, Female
45,9, Married-civ-spouse, Husband, White,60, Male
17,7, Never-married, Own-child, White,12, Male
59,10, Married-civ-spouse, Husband, White,40, Male
26,7, Married-civ-spouse, Husband, White,40, Male
37,10, Married-civ-spouse, Husband, Asian-Pac-Islander,75, Male
19,10, Never-married, Own-child, White,24, Male
64,9, Married-civ-spouse, Husband, White,40, Male
33,13, Never-married, Not-in-family, White,45, Female
33,9, Married-civ-spouse, Wife, White,40, Female
61,9, Married-civ-spouse, Husband, White,40, Male
17,5, Never-married, Own-child, White,24, Male
50,14, Married-civ-spouse, Husband, White,98, Male
27,14, Never-married, Own-child, White,35, Male
30,9, Divorced, Own-child, White,40, Female
43,9, Married-civ-spouse, Husband, Black,40, Male
44,10, Married-civ-spouse, Husband, White,40, Male
35,10, Never-married, Not-in-family, White,40, Female
25,10, Never-married, Own-child, White,40, Female
24,10, Married-civ-spouse, Wife, White,48, Female
22,13, Never-married, Not-in-family, White,15, Female
42,10, Married-civ-spouse, Husband, White,40, Male
34,12, Divorced, Unmarried, Black,45, Female
60,13, Divorced, Not-in-family, White,42, Female
21,9, Never-married, Own-child, White,40, Male
57,14, Married-civ-spouse, Husband, White,40, Male
41,15, Married-civ-spouse, Husband, White,60, Male
50,10, Divorced, Not-in-family, White,45, Male
25,13, Never-married, Not-in-family, White,40, Female
50,4, Married-civ-spouse, Husband, White,40, Male
36,13, Married-civ-spouse, Husband, White,45, Male
31,9, Divorced, Not-in-family, White,40, Female
29,13, Never-married, Not-in-family, White,56, Male
21,10, Never-married, Own-child, White,45, Male
27,13, Never-married, Unmarried, Black,40, Female
65,9, Married-civ-spouse, Husband, White,16, Male
37,13, Divorced, Not-in-family, White,60, Female
39,14, Married-civ-spouse, Wife, Asian-Pac-Islander,40, Female
24,9, Never-married, Own-child, White,40, Male
38,9, Divorced, Not-in-family, White,80, Male
48,13, Married-civ-spouse, Husband, White,40, Male
21,10, Never-married, Not-in-family, Asian-Pac-Islander,25, Female
31,9, Married-civ-spouse, Husband, White,45, Male
55,9, Married-civ-spouse, Husband, White,40, Male
24,10, Married-civ-spouse, Wife, Asian-Pac-Islander,40, Female
43,9, Divorced, Not-in-family, White,40, Female
26,12, Never-married, Not-in-family, White,45, Male
46,12, Never-married, Not-in-family, White,33, Female
35,12, Married-civ-spouse, Husband, White,40, Male
41,10, Married-civ-spouse, Husband, White,54, Male
26,13, Never-married, Not-in-family, White,40, Male
34,14, Married-civ-spouse, Husband, Asian-Pac-Islander,35, Male
19,10, Never-married, Own-child, Black,25, Female
36,13, Divorced, Not-in-family, Black,40, Female
22,10, Never-married, Own-child, White,15, Male
24,10, Never-married, Not-in-family, White,40, Male
77,10, Married-civ-spouse, Husband, White,40, Male
22,3, Married-civ-spouse, Other-relative, White,40, Female
29,10, Never-married, Not-in-family, White,40, Female
62,9, Widowed, Not-in-family, White,24, Female
39,9, Married-civ-spouse, Husband, White,40, Male
43,10, Married-civ-spouse, Husband, White,50, Male
35,9, Divorced, Not-in-family, White,45, Male
29,7, Never-married, Not-in-family, White,40, Female
76,14, Married-civ-spouse, Husband, White,10, Male
63,9, Married-civ-spouse, Husband, White,45, Male
23,11, Never-married, Own-child, Black,15, Female
43,10, Married-civ-spouse, Wife, White,50, Female
58,9, Married-civ-spouse, Husband, White,40, Male
66,9, Never-married, Not-in-family, White,55, Male
41,10, Never-married, Not-in-family, Black,45, Male
26,13, Never-married, Not-in-family, White,40, Male
47,11, Never-married, Not-in-family, White,40, Male
55,6, Married-civ-spouse, Husband, White,40, Male
53,9, Married-civ-spouse, Husband, White,40, Male
17,3, Never-married, Other-relative, White,48, Male
30,9, Never-married, Other-relative, White,40, Male
49,14, Never-married, Not-in-family, White,60, Male
19,9, Never-married, Unmarried, Black,30, Male
45,9, Married-civ-spouse, Husband, Black,40, Male
26,12, Never-married, Not-in-family, White,40, Male
38,11, Married-civ-spouse, Husband, White,40, Male
36,9, Married-civ-spouse, Husband, White,40, Male
33,9, Never-married, Not-in-family, White,20, Male
22,10, Never-married, Own-child, Black,40, Female
43,13, Never-married, Not-in-family, White,42, Male
67,7, Married-civ-spouse, Husband, White,8, Male
30,11, Divorced, Unmarried, White,40, Female
56,12, Married-spouse-absent, Not-in-family, White,25, Male
31,13, Never-married, Own-child, White,25, Male
33,13, Married-civ-spouse, Husband, White,40, Male
26,9, Married-civ-spouse, Husband, White,40, Male
33,13, Married-civ-spouse, Husband, White,40, Male
46,7, Married-civ-spouse, Husband, White,30, Male
59,13, Married-civ-spouse, Husband, White,40, Male
38,9, Married-civ-spouse, Husband, White,40, Male
65,7, Widowed, Unmarried, Other,40, Male
40,11, Married-civ-spouse, Husband, White,40, Male
42,9, Married-civ-spouse, Wife, White,35, Female
26,5, Married-civ-spouse, Husband, White,40, Male
36,6, Married-civ-spouse, Wife, White,24, Female
62,14, Married-civ-spouse, Husband, White,40, Male
43,13, Married-civ-spouse, Husband, White,45, Male
43,13, Divorced, Not-in-family, White,45, Male
22,9, Married-spouse-absent, Not-in-family, White,55, Male
28,9, Married-civ-spouse, Husband, White,40, Male
56,10, Married-civ-spouse, Husband, White,45, Male
22,12, Never-married, Not-in-family, White,15, Female
57,13, Divorced, Not-in-family, White,45, Female
39,9, Divorced, Unmarried, White,40, Female
26,10, Never-married, Unmarried, White,15, Female
17,7, Never-married, Own-child, White,10, Male
40,11, Married-civ-spouse, Husband, White,38, Male
45,9, Married-civ-spouse, Husband, Black,40, Male
44,9, Never-married, Not-in-family, Black,40, Male
20,10, Never-married, Own-child, White,10, Female
33,9, Married-civ-spouse, Wife, White,40, Female
23,10, Never-married, Not-in-family, White,40, Male
46,14, Divorced, Not-in-family, White,30, Male
38,9, Married-civ-spouse, Husband, White,50, Male
54,9, Divorced, Not-in-family, White,40, Male
46,3, Divorced, Not-in-family, White,45, Female
25,10, Married-civ-spouse, Husband, White,40, Male
46,10, Divorced, Not-in-family, White,40, Female
36,10, Married-civ-spouse, Wife, White,40, Female
23,9, Never-married, Not-in-family, White,25, Female
29,9, Separated, Not-in-family, White,40, Male
44,10, Married-civ-spouse, Wife, White,6, Female
19,10, Never-married, Own-child, White,16, Female
19,9, Never-married, Other-relative, White,40, Female
35,9, Married-civ-spouse, Wife, White,40, Female
27,13, Never-married, Not-in-family, White,50, Male
46,12, Separated, Not-in-family, White,40, Male
34,13, Married-civ-spouse, Husband, White,45, Male
34,9, Never-married, Not-in-family, White,35, Female
44,10, Married-civ-spouse, Husband, White,40, Male
45,10, Divorced, Unmarried, White,40, Female
20,9, Never-married, Other-relative, White,35, Female
25,13, Married-civ-spouse, Husband, White,55, Male
52,13, Married-civ-spouse, Husband, White,50, Male
20,10, Never-married, Own-child, White,40, Male
28,10, Never-married, Not-in-family, White,40, Female
50,13, Married-civ-spouse, Husband, White,40, Male
34,11, Divorced, Not-in-family, White,64, Female
28,4, Married-civ-spouse, Husband, Other,40, Male
41,14, Married-civ-spouse, Husband, White,65, Male
28,9, Married-civ-spouse, Husband, White,40, Male
46,9, Married-civ-spouse, Husband, White,25, Male
28,10, Married-civ-spouse, Wife, White,40, Female
32,10, Married-civ-spouse, Husband, White,50, Male
41,10, Divorced, Not-in-family, Black,24, Female
24,9, Never-married, Unmarried, Black,40, Female
33,10, Divorced, Unmarried, White,40, Female
46,16, Married-civ-spouse, Husband, White,60, Male
31,10, Married-civ-spouse, Husband, White,40, Male
35,8, Divorced, Not-in-family, White,50, Male
52,2, Married-civ-spouse, Husband, White,40, Male
30,7, Never-married, Own-child, White,19, Female
34,7, Separated, Not-in-family, Black,40, Male
34,9, Divorced, Unmarried, White,40, Female
20,10, Married-civ-spouse, Husband, White,30, Male
17,7, Never-married, Own-child, White,18, Male
32,13, Married-civ-spouse, Wife, White,40, Female
29,9, Divorced, Not-in-family, White,40, Male
33,6, Never-married, Unmarried, White,35, Female
25,9, Married-civ-spouse, Husband, White,60, Male
36,14, Never-married, Not-in-family, White,40, Male
23,9, Never-married, Not-in-family, White,72, Male
63,9, Married-civ-spouse, Husband, White,40, Male
47,14, Married-civ-spouse, Husband, White,40, Male
80,9, Widowed, Not-in-family, White,24, Male
17,7, Never-married, Own-child, White,40, Male
40,13, Married-spouse-absent, Not-in-family, White,40, Female
30,12, Married-civ-spouse, Wife, White,25, Female
27,10, Never-married, Own-child, Asian-Pac-Islander,40, Male
33,14, Married-civ-spouse, Husband, White,50, Male
34,9, Never-married, Not-in-family, Black,60, Male
34,10, Never-married, Not-in-family, White,40, Female
23,10, Married-civ-spouse, Husband, White,40, Male
42,10, Married-civ-spouse, Wife, White,40, Female
29,13, Never-married, Not-in-family, White,40, Male
45,9, Divorced, Not-in-family, White,28, Female
24,9, Never-married, Own-child, White,40, Male
44,10, Married-civ-spouse, Husband, White,40, Male
27,5, Never-married, Other-relative, White,40, Male
20,10, Never-married, Not-in-family, White,35, Male
44,9, Widowed, Unmarried, Black,40, Female
51,9, Married-civ-spouse, Husband, Amer-Indian-Eskimo,40, Male
20,9, Married-civ-spouse, Husband, White,40, Male
17,7, Never-married, Own-child, White,5, Female
19,9, Never-married, Own-child, Black,40, Female
45,10, Married-civ-spouse, Husband, White,55, Male
60,9, Married-civ-spouse, Husband, White,40, Male
42,12, Married-civ-spouse, Husband, Black,40, Male
44,9, Married-civ-spouse, Wife, White,40, Female
40,11, Married-civ-spouse, Husband, Asian-Pac-Islander,40, Male
30,9, Married-civ-spouse, Wife, White,40, Female
38,10, Married-civ-spouse, Husband, Black,50, Male
23,9, Married-civ-spouse, Husband, White,60, Male
32,10, Married-civ-spouse, Husband, White,40, Male
44,12, Never-married, Own-child, White,40, Male
54,9, Married-civ-spouse, Husband, Black,40, Male
32,13, Married-civ-spouse, Husband, White,50, Male
50,2, Married-spouse-absent, Unmarried, White,40, Male
24,13, Never-married, Not-in-family, White,20, Female
37,9, Married-civ-spouse, Wife, White,60, Female
52,9, Divorced, Unmarried, White,40, Male
38,10, Married-civ-spouse, Husband, White,40, Male
49,14, Married-civ-spouse, Husband, White,45, Male
30,13, Married-civ-spouse, Wife, White,16, Female
60,10, Never-married, Unmarried, White,40, Male
22,10, Never-married, Own-child, White,40, Male
35,9, Never-married, Not-in-family, White,40, Male
30,9, Never-married, Not-in-family, White,60, Male
67,11, Divorced, Not-in-family, White,24, Female
46,13, Never-married, Not-in-family, White,40, Female
17,5, Never-married, Not-in-family, White,6, Male
22,10, Never-married, Own-child, White,30, Male
27,6, Never-married, Not-in-family, White,40, Male
23,9, Never-married, Unmarried, White,35, Female
33,12, Married-civ-spouse, Husband, White,45, Male
43,10, Married-civ-spouse, Husband, White,20, Male
28,13, Never-married, Not-in-family, White,20, Male
41,9, Married-spouse-absent, Unmarried, White,40, Female
52,8, Never-married, Other-relative, Black,40, Male
25,10, Married-spouse-absent, Own-child, Black,20, Female
63,2, Married-civ-spouse, Husband, White,35, Male
59,9, Married-civ-spouse, Husband, White,45, Male
45,13, Divorced, Unmarried, White,40, Female
38,13, Married-civ-spouse, Husband, White,60, Male
40,9, Never-married, Not-in-family, White,35, Female
46,9, Divorced, Not-in-family, White,40, Male
35,12, Never-married, Not-in-family, White,60, Female
34,9, Divorced, Unmarried, White,25, Female
33,13, Never-married, Own-child, White,20, Male
41,9, Divorced, Unmarried, White,36, Female
20,10, Never-married, Own-child, White,40, Male
23,3, Never-married, Own-child, White,40, Male
26,10, Never-married, Not-in-family, White,35, Female
72,9, Married-civ-spouse, Husband, White,20, Male
23,9, Never-married, Not-in-family, White,40, Male
62,9, Married-civ-spouse, Husband, White,40, Male
52,10, Married-civ-spouse, Husband, White,40, Male
58,10, Divorced, Unmarried, White,42, Female
25,13, Never-married, Not-in-family, White,40, Female
24,13, Never-married, Not-in-family, Black,40, Male
19,10, Never-married, Own-child, White,8, Male
43,10, Married-civ-spouse, Husband, White,40, Male
47,9, Separated, Unmarried, Black,40, Female
39,9, Divorced, Unmarried, White,40, Female
49,11, Married-spouse-absent, Unmarried, White,42, Male
53,3, Widowed, Unmarried, Black,30, Female
32,11, Never-married, Not-in-family, White,45, Male
34,10, Married-civ-spouse, Husband, White,50, Male
28,9, Divorced, Not-in-family, White,45, Male
57,11, Widowed, Unmarried, White,38, Female
25,10, Never-married, Not-in-family, Amer-Indian-Eskimo,20, Female
20,10, Never-married, Own-child, White,24, Male
21,10, Never-married, Unmarried, White,35, Female
34,13, Married-civ-spouse, Husband, White,50, Male
38,13, Married-civ-spouse, Husband, White,80, Male
50,9, Married-civ-spouse, Husband, White,50, Male
24,10, Divorced, Not-in-family, Black,50, Male
37,10, Married-civ-spouse, Husband, White,45, Male
44,10, Divorced, Unmarried, White,58, Male
28,10, Married-civ-spouse, Wife, White,40, Female
42,13, Married-civ-spouse, Husband, White,40, Male
74,10, Divorced, Not-in-family, White,9, Female
38,9, Married-civ-spouse, Husband, White,50, Male
44,14, Married-civ-spouse, Husband, White,40, Male
44,7, Divorced, Unmarried, Other,46, Female
26,9, Never-married, Not-in-family, White,40, Male
36,9, Married-civ-spouse, Husband, Black,40, Male
41,12, Married-civ-spouse, Wife, White,50, Female
67,15, Married-civ-spouse, Husband, White,48, Male
39,8, Married-civ-spouse, Husband, White,50, Male
57,2, Widowed, Not-in-family, Black,30, Female
29,11, Separated, Not-in-family, White,40, Male
31,13, Never-married, Not-in-family, White,45, Female
34,9, Never-married, Unmarried, Black,40, Female
44,10, Married-civ-spouse, Husband, White,40, Male
29,16, Never-married, Own-child, White,40, Male
30,10, Never-married, Unmarried, White,40, Female
27,9, Never-married, Not-in-family, White,40, Male
27,10, Married-civ-spouse, Husband, White,50, Male
32,9, Never-married, Not-in-family, White,45, Female
58,6, Married-civ-spouse, Wife, White,8, Female
35,10, Married-civ-spouse, Husband, White,40, Male
21,9, Never-married, Own-child, White,36, Male
28,10, Never-married, Unmarried, White,40, Male
46,10, Divorced, Not-in-family, White,50, Male
36,9, Separated, Unmarried, White,40, Female
72,7, Widowed, Unmarried, White,40, Female
35,9, Married-civ-spouse, Wife, Black,40, Female
33,11, Divorced, Unmarried, Black,40, Female
69,7, Never-married, Not-in-family, White,40, Female
35,9, Married-civ-spouse, Husband, White,40, Male
31,9, Separated, Unmarried, White,20, Female
34,9, Married-civ-spouse, Wife, White,32, Female
30,7, Married-civ-spouse, Husband, White,40, Male
28,13, Never-married, Not-in-family, White,55, Male
54,13, Married-civ-spouse, Husband, White,35, Male
47,10, Married-civ-spouse, Husband, White,50, Male
24,9, Never-married, Unmarried, Black,40, Female
52,13, Married-civ-spouse, Husband, White,60, Male
20,9, Never-married, Own-child, Amer-Indian-Eskimo,48, Male
43,14, Married-civ-spouse, Husband, White,45, Male
45,4, Separated, Unmarried, White,40, Female
29,9, Separated, Not-in-family, White,35, Male
47,14, Divorced, Unmarried, White,42, Male
24,9, Never-married, Own-child, White,40, Male
51,9, Married-civ-spouse, Husband, White,40, Male
17,7, Never-married, Own-child, White,12, Male
37,11, Married-civ-spouse, Husband, White,40, Male
27,16, Never-married, Not-in-family, White,70, Female
29,13, Married-civ-spouse, Wife, White,40, Male
18,8, Never-married, Own-child, White,25, Male
